X1,X2
0.088,0.003
0.111,0.002
0.048,0.002
0.076,0.004
0.097,0.003
0.097,0.003
0.087,0.003
0.112,0.007
0.095,0.002
0.11,0.008
0.089,0.003
0.095,0.003
0.08,0.003
0.093,0.003
