X1,X2
0.057,0.003
0.047,0.001
0.08,0.002
0.066,0.003
0.043,0.002
0.079,0.002
0.058,0.003
0.067,0.003
0.049,0.002
0.058,0.003
0.058,0.002
0.063,0.002
0.05,0.003
0.06,0.003
