X1,X2
0.054,0.003
0.045,0.001
0.08,0.003
0.072,0.004
0.045,0.003
0.062,0.003
0.055,0.003
0.071,0.007
0.047,0.002
0.061,0.007
0.06,0.003
0.057,0.003
0.038,0.003
0.062,0.003
