X1,X2
0.066,0.003
0.054,0.003
0.083,0.005
0.063,0.004
0.044,0.003
0.104,0.003
0.064,0.003
0.067,0.003
0.066,0.004
0.059,0.003
0.059,0.003
0.072,0.003
0.066,0.003
0.059,0.003
