X1,X2
0.087,0.003
0.103,0.001
0.059,0.002
0.072,0.003
0.092,0.003
0.106,0.002
0.089,0.003
0.082,0.003
0.096,0.002
0.11,0.003
0.087,0.002
0.093,0.002
0.075,0.003
0.094,0.003
